Category,Term,Definition,Sensitivity,PII_Category,CDE,Tags
Parts & BOM,BOM ID,Unique identifier for a BOM link.,LOW,,Yes,parts;bom;identifier;cde
Parts & BOM,BOM Link,One parent/child link in the bill of materials.,LOW,,No,parts;bom
Parts & BOM,BOM Status,"Status: Draft, Released or Superseded.",LOW,,No,parts;bom
Parts & BOM,Child Part ID,The component consumed by the parent.,LOW,,Yes,parts;bom;identifier;cde
Parts & BOM,Effective Date,Date the BOM link took effect.,LOW,,No,parts;bom
Parts & BOM,Parent Part ID,The assembly that consumes the child.,LOW,,Yes,parts;bom;identifier;cde
Parts & BOM,Part ID,Unique identifier for a part record.,LOW,,Yes,parts;bom;identifier;cde
Parts & BOM,Part Name,Descriptive name of the part.,LOW,,No,parts;bom
Parts & BOM,Part Number,"Part number, format CPC-nnnnn; the identifier on every drawing, lot and certificate.",LOW,,Yes,parts;bom;identifier;cde
Parts & BOM,Part Record,"An item-master part: number, revision, type, cost and criticality.",MEDIUM,,No,parts;bom
Parts & BOM,Part Status,"Lifecycle status: Active, Obsolete or Hold.",LOW,,No,parts;bom
Parts & BOM,Part Type Code,"Type: VALVE, FITTING, MANIFOLD, SEAL_KIT, ACTUATOR or RAW.",LOW,,No,parts;bom
Parts & BOM,Quantity Per,Quantity of the child consumed per unit of the parent.,LOW,,No,parts;bom
Parts & BOM,Revision Code,Engineering revision letter; a shipped part must match its certificate revision.,LOW,,Yes,parts;bom;cde
Parts & BOM,Safety Critical Flag,TRUE for parts whose failure endangers people or equipment; drives full traceability and MRB authority.,MEDIUM,,Yes,parts;bom;safety-critical;cde
Parts & BOM,UOM Code,"Unit of measure: EA, KG or M.",LOW,,No,parts;bom
Parts & BOM,Unit Cost,Standard unit cost. Commercially sensitive - never customer-facing.,HIGH,,Yes,parts;bom;commercial;cost;cde
Suppliers & Purchasing,ASL Status,"Approved-supplier-list status: Approved, Conditional or Suspended. A Suspended supplier must receive no new purchase orders.",MEDIUM,,Yes,supplier;purchasing;cde
Suppliers & Purchasing,City,City of the supplier.,LOW,,No,supplier;purchasing
Suppliers & Purchasing,Contact Email,Business contact email of the supplier.,MEDIUM,EMAIL,No,pii;personal-data;privacy;supplier;purchasing
Suppliers & Purchasing,Order Date,Date the PO was issued.,LOW,,No,supplier;purchasing
Suppliers & Purchasing,PO ID,Unique identifier for a purchase order.,LOW,,Yes,supplier;purchasing;identifier;cde
Suppliers & Purchasing,PO Number,"Purchase order number, format PO-nnnnnnnn.",MEDIUM,,Yes,supplier;purchasing;identifier;cde
Suppliers & Purchasing,PO Status,"Status: Open, Received, Cancelled or Closed.",LOW,,No,supplier;purchasing
Suppliers & Purchasing,Part ID,Part ordered.,LOW,,No,supplier;purchasing;identifier
Suppliers & Purchasing,Phone,Business phone number of the supplier.,LOW,,No,supplier;purchasing
Suppliers & Purchasing,Promised Date,Supplier-promised delivery date.,LOW,,No,supplier;purchasing
Suppliers & Purchasing,Purchase Order Record,A purchase order to an ASL supplier.,MEDIUM,,No,supplier;purchasing
Suppliers & Purchasing,Quality Rating Code,"Supplier quality rating: A, B or C.",LOW,,No,supplier;purchasing
Suppliers & Purchasing,Quantity Ordered,Units ordered.,LOW,,No,supplier;purchasing
Suppliers & Purchasing,St,US state code of the supplier.,LOW,,No,supplier;purchasing
Suppliers & Purchasing,Status Date,Date the current ASL status took effect.,LOW,,No,supplier;purchasing
Suppliers & Purchasing,Supplier ID,Unique identifier for a supplier record.,LOW,,Yes,supplier;purchasing;identifier;cde
Suppliers & Purchasing,Supplier Name,Legal or trading name of the vendor.,LOW,,No,supplier;purchasing
Suppliers & Purchasing,Supplier Record,"An ASL vendor: status, rating and contacts.",LOW,,No,supplier;purchasing
Suppliers & Purchasing,Unit Price,Agreed unit price. Commercially sensitive.,HIGH,,No,supplier;purchasing;commercial;cost
Production,Due Date,Required completion date.,LOW,,No,production
Production,Part ID,Part being produced.,LOW,,No,production;identifier
Production,Plant ID,Plant running the order.,LOW,,No,production;identifier
Production,Quantity Completed,Good units completed.,LOW,,No,production
Production,Quantity Planned,Units planned.,LOW,,No,production
Production,Quantity Scrapped,Units scrapped; feeds cost-of-quality reporting.,MEDIUM,,No,production
Production,Start Date,Planned or actual start date.,LOW,,No,production
Production,WO ID,Unique identifier for a work order.,LOW,,Yes,production;identifier;cde
Production,WO Number,"Work order number, format WO-nnnnnnnn; appears on travelers and lot records.",MEDIUM,,Yes,production;identifier;cde
Production,WO Status,"Status: Planned, Released, InProcess, Complete or Closed.",LOW,,No,production
Production,Work Order Record,A production order with its quantities and status.,LOW,,No,production
Traceability,CoC Flag,TRUE when a Certificate of Conformance is on file. DEFECT: two Released lots in this dataset carry no CoC - a lot must not be Released without one.,MEDIUM,,Yes,traceability;certificate;cde
Traceability,Lot ID,Unique identifier for a lot.,LOW,,Yes,traceability;identifier;cde
Traceability,Lot Number,"Lot number, format LOT-YYYY-nnnn; the traceability identifier on certificates, NCRs and shipments.",MEDIUM,,Yes,traceability;identifier;cde
Traceability,Lot Record,One made or purchased batch - the traceability spine.,HIGH,,Yes,traceability;cde
Traceability,Lot Status,"Lifecycle: Quarantine, Released, Consumed or Recalled. Recalled lots trigger the customer-notification traceability query.",MEDIUM,,Yes,traceability;cde
Traceability,Manufacture Date,Date the lot was made or received.,LOW,,No,traceability
Traceability,Part ID,Part the lot contains.,LOW,,No,traceability;identifier
Traceability,Quantity,Units in the lot.,LOW,,No,traceability
Traceability,Supplier ID,Source supplier (empty for made lots).,LOW,,No,traceability;identifier
Traceability,WO ID,Producing work order (empty for purchased lots).,LOW,,No,traceability;identifier
Quality & Inspection,Defects Found,Defects found in the sample.,MEDIUM,,No,quality;inspection
Quality & Inspection,Inspection Date,Date of the inspection.,LOW,,No,quality;inspection
Quality & Inspection,Inspection ID,Unique identifier for an inspection.,LOW,,Yes,quality;inspection;identifier;cde
Quality & Inspection,Inspection Record,One inspection of one lot.,LOW,,No,quality;inspection
Quality & Inspection,Inspection Type Code,"Type: INCOMING, IN_PROCESS, FINAL or AUDIT.",LOW,,No,quality;inspection
Quality & Inspection,Inspector Employee ID,Inspector who performed it.,LOW,,No,quality;inspection;identifier
Quality & Inspection,Lot ID,Lot inspected.,LOW,,No,quality;inspection;identifier
Quality & Inspection,Result Code,"Outcome: PASS, FAIL or CONDITIONAL.",LOW,,No,quality;inspection
Quality & Inspection,Sample Quantity,Units sampled.,LOW,,No,quality;inspection
Nonconformance,Closed Date,Date the NCR was closed.,LOW,,No,nonconformance;quality
Nonconformance,Defect Code,"Defect: DIM_OOT, SURFACE, MATERIAL, PLATING or DOC.",LOW,,No,nonconformance;quality
Nonconformance,Disposition Code,"Disposition: USE_AS_IS, REWORK, SCRAP or RTV.",MEDIUM,,Yes,nonconformance;quality;cde
Nonconformance,Lot ID,Lot the nonconformance was found in.,LOW,,No,nonconformance;quality;identifier
Nonconformance,MRB Approval Flag,TRUE when the Material Review Board signed the disposition. DEFECT: required for USE_AS_IS on MAJOR/CRITICAL - NCR-2026-014 lacks it.,MEDIUM,,Yes,nonconformance;quality;cde
Nonconformance,NCR ID,Unique identifier for a nonconformance report.,LOW,,Yes,nonconformance;quality;identifier;cde
Nonconformance,NCR Number,"NCR number, format NCR-YYYY-nnn.",MEDIUM,,Yes,nonconformance;quality;identifier;cde
Nonconformance,NCR Status,"Status: Open, Dispositioned or Closed.",LOW,,No,nonconformance;quality
Nonconformance,Nonconformance Report,A quality nonconformance and its disposition.,MEDIUM,,No,nonconformance;quality
Nonconformance,Opened By Employee ID,Employee who raised the NCR.,LOW,,No,nonconformance;quality;identifier
Nonconformance,Opened Date,Date the NCR was opened.,LOW,,No,nonconformance;quality
Nonconformance,Part ID,Part affected.,LOW,,No,nonconformance;quality;identifier
Nonconformance,Severity Code,"Severity: MINOR, MAJOR or CRITICAL.",MEDIUM,,Yes,nonconformance;quality;cde
Shipments & Customers,Customer Name,"Customer legal name - business-contact data, commercially sensitive relationships.",MEDIUM,,No,shipment;customer
Shipments & Customers,Destination City,Delivery city.,LOW,,No,shipment;customer
Shipments & Customers,Destination State,Delivery state.,LOW,,No,shipment;customer
Shipments & Customers,Lot ID,Lot shipped - the outbound half of traceability; a recall follows this link to every affected customer.,MEDIUM,,Yes,shipment;customer;identifier;cde
Shipments & Customers,Part ID,Part shipped.,LOW,,No,shipment;customer;identifier
Shipments & Customers,Quantity,Units shipped.,LOW,,No,shipment;customer
Shipments & Customers,Ship Date,Date the shipment left.,LOW,,No,shipment;customer
Shipments & Customers,Shipment ID,Unique identifier for a shipment.,LOW,,Yes,shipment;customer;identifier;cde
Shipments & Customers,Shipment Number,"Shipment number, format SH-nnnnnnnn.",MEDIUM,,Yes,shipment;customer;identifier;cde
Shipments & Customers,Shipment Record,A customer delivery by part and lot.,MEDIUM,,No,shipment;customer
Shipments & Customers,Shipment Status,"Status: Staged, Shipped, Delivered or Returned.",LOW,,No,shipment;customer
Plant Operations,Email,Email address of the person.,HIGH,EMAIL,Yes,pii;personal-data;privacy;operational;cde
Plant Operations,Employee ID,Unique identifier for an employee record.,LOW,,Yes,operational;identifier;cde
Plant Operations,Employee Record,"A plant staff member: role, plant and status.",MEDIUM,,No,operational
Plant Operations,Employee Status,Employment status: Active or Inactive.,LOW,,No,operational
Plant Operations,First Name,Given name of the person.,HIGH,PERSONAL_NAME,Yes,pii;personal-data;privacy;operational;cde
Plant Operations,Hire Date,Date the employee was hired.,LOW,,No,operational
Plant Operations,Last Name,Family name of the person.,HIGH,PERSONAL_NAME,Yes,pii;personal-data;privacy;operational;cde
Plant Operations,Manager Employee ID,Employee who manages the plant.,LOW,,No,operational;identifier
Plant Operations,Plant Address,Street address of the plant.,LOW,,No,operational
Plant Operations,Plant City,City the plant operates in.,LOW,,No,operational
Plant Operations,Plant ID,Unique identifier for a plant record.,LOW,,Yes,operational;identifier;cde
Plant Operations,Plant Name,Name of a CPC manufacturing site.,LOW,,No,operational
