Category,Term,Definition,Sensitivity,PII_Category,CDE,Tags
Customer,Address 1,Street address line of the customer.,HIGH,ADDRESS,Yes,pii;personal-data;privacy;customer;loyalty;cde
Customer,City,City of the customer address.,HIGH,ADDRESS,Yes,pii;personal-data;privacy;customer;loyalty;cde
Customer,Customer ID,Unique identifier for a customer record.,HIGH,,Yes,customer;loyalty;identifier;cde
Customer,Customer Record,"A loyalty customer of CTO: identity, contact details, tier and consent.",HIGH,,Yes,customer;loyalty;cde
Customer,Customer Status,Account status of the customer.,LOW,,No,customer;loyalty
Customer,Email,Email address of the person.,HIGH,EMAIL,Yes,pii;personal-data;privacy;customer;loyalty;cde
Customer,First Name,Given name of the person.,HIGH,PERSONAL_NAME,Yes,pii;personal-data;privacy;customer;loyalty;cde
Customer,Joined Date,Date the customer joined the loyalty program.,LOW,,No,customer;loyalty
Customer,Last Name,Family name of the person.,HIGH,PERSONAL_NAME,Yes,pii;personal-data;privacy;customer;loyalty;cde
Customer,Loyalty Number,"Loyalty program number, format CTO-nnnnnn; the customer-facing identifier.",HIGH,CUSTOMER_ID,Yes,pii;personal-data;privacy;customer;loyalty;identifier;cde
Customer,Loyalty Tier,"Loyalty tier: BASE, SILVER or GOLD.",LOW,,No,customer;loyalty
Customer,Opted Out Marketing,TRUE when the customer opted out of marketing contact; extracts must suppress these rows.,MEDIUM,,Yes,customer;loyalty;cde
Customer,Phone,Phone number of the person.,HIGH,PHONE,Yes,pii;personal-data;privacy;customer;loyalty;cde
Customer,St,US state code of the address.,LOW,,No,customer;loyalty
Customer,ZIP,ZIP code of the customer address.,HIGH,ADDRESS,Yes,pii;personal-data;privacy;customer;loyalty;cde
Merchandising,Category Code,"Merchandise category: CAMP, HIKE, CLIMB, WATER, APPAREL or FOOTWEAR.",LOW,,No,merchandising
Merchandising,List Price,Regular selling price of the product.,LOW,,No,merchandising
Merchandising,Product ID,Unique identifier for a product record.,LOW,,Yes,merchandising;identifier;cde
Merchandising,Product Name,Customer-facing name of the product.,LOW,,No,merchandising
Merchandising,Product Record,"A merchandise item: SKU, category, supplier and pricing.",LOW,,No,merchandising
Merchandising,Product Status,"Lifecycle status: Active, Discontinued or Seasonal.",LOW,,No,merchandising
Merchandising,SKU,"Stock-keeping unit, format CT-AAA-nnnn with the category prefix.",LOW,,Yes,merchandising;identifier;cde
Merchandising,Supplier ID,Vendor the product is purchased from.,LOW,,No,merchandising;identifier
Merchandising,Unit Cost,Landed unit cost from the supplier; commercially sensitive.,MEDIUM,,Yes,merchandising;cde
Inventory,Inventory ID,Unique identifier for an inventory position.,LOW,,Yes,inventory;identifier;cde
Inventory,Inventory Position,The stock position of one product at one store.,LOW,,No,inventory
Inventory,Last Count Date,Date of the last cycle count.,LOW,,No,inventory
Inventory,Product ID,Product the position counts.,LOW,,No,inventory;identifier
Inventory,Quantity On Hand,Units physically on hand at last count.,LOW,,No,inventory
Inventory,Quantity Reserved,Units reserved against open orders.,LOW,,No,inventory
Inventory,Reorder Point,On-hand level that triggers replenishment.,LOW,,No,inventory
Inventory,Store ID,Store holding the stock.,LOW,,No,inventory;identifier
Orders & Fulfillment,Channel Code,"Sales channel: STORE, WEB or PHONE.",LOW,,No,orders
Orders & Fulfillment,Customer ID,Customer who placed the order.,HIGH,,Yes,orders;identifier;cde
Orders & Fulfillment,Discount Percent,Line discount percentage; policy ceiling is 40%.,LOW,,No,orders
Orders & Fulfillment,Order Date,Date the order was placed.,LOW,,No,orders
Orders & Fulfillment,Order ID,Unique identifier for a sales order.,MEDIUM,,Yes,orders;identifier;cde
Orders & Fulfillment,Order Line ID,Unique identifier for an order line.,LOW,,Yes,orders;identifier;cde
Orders & Fulfillment,Order Line Record,One product line on a sales order.,LOW,,No,orders
Orders & Fulfillment,Order Number,"Customer-facing order number, format SO-nnnnnnnn.",MEDIUM,,Yes,orders;identifier;cde
Orders & Fulfillment,Order Status,"Lifecycle status: OPEN, PAID, SHIPPED, RETURNED or CANCELLED.",LOW,,No,orders
Orders & Fulfillment,Product ID,Product sold on the line.,LOW,,No,orders;identifier
Orders & Fulfillment,Quantity,Units sold on the line.,LOW,,No,orders
Orders & Fulfillment,Refund Amount,Amount refunded to the customer.,MEDIUM,,No,orders
Orders & Fulfillment,Return Date,Date the return was processed.,LOW,,No,orders
Orders & Fulfillment,Return ID,Unique identifier for a return.,LOW,,Yes,orders;identifier;cde
Orders & Fulfillment,Return Reason Code,"Reason: DEFECT, WRONG_SIZE, CHANGED_MIND or FRAUD_SUSPECTED.",LOW,,No,orders
Orders & Fulfillment,Return Record,A merchandise return and its refund.,LOW,,No,orders
Orders & Fulfillment,Return Status,"Status: Requested, Approved, Completed or Denied.",LOW,,No,orders
Orders & Fulfillment,Sales Order Record,"A sales order across any channel, with its lines and status.",MEDIUM,,No,orders
Orders & Fulfillment,Store ID,Store that took the order; empty for web orders.,LOW,,No,orders;identifier
Orders & Fulfillment,Total Amount,Order total across its lines.,MEDIUM,,No,orders
Orders & Fulfillment,Unit Price,Selling price per unit on the line.,LOW,,No,orders
Payments,Authorization Code,Processor authorization code for the payment.,MEDIUM,,No,payments
Payments,Card Number,Payment card number. DEFECT: full PAN stored; PCI DSS permits at most first 6 / last 4 after authorization.,HIGH,PAYMENT_CARD,Yes,pii;personal-data;privacy;payments;pci;cde
Payments,Order ID,Order the payment settles.,MEDIUM,,No,payments;identifier
Payments,Payment Amount,Amount settled by the payment.,MEDIUM,,No,payments
Payments,Payment Date,Date the payment was taken.,LOW,,No,payments
Payments,Payment ID,Unique identifier for a payment.,MEDIUM,,Yes,payments;identifier;cde
Payments,Payment Method Code,"Tender type: CARD, CASH, GIFT_CARD or PAYPAL.",LOW,,No,payments
Payments,Payment Record,"A payment settling an order, across tenders.",HIGH,,Yes,payments;cde
Payments,Payment Status,"Status: Authorized, Settled, Refunded or Voided.",LOW,,No,payments
Suppliers,City,City of the supplier.,LOW,,No,supplier
Suppliers,Contact Email,Business contact email of the supplier.,MEDIUM,EMAIL,No,pii;personal-data;privacy;supplier
Suppliers,Phone,Business phone number of the supplier.,LOW,,No,supplier
Suppliers,St,US state code of the supplier.,LOW,,No,supplier
Suppliers,Supplier ID,Unique identifier for a supplier record.,LOW,,Yes,supplier;identifier;cde
Suppliers,Supplier Name,Legal or trading name of the vendor.,LOW,,No,supplier
Suppliers,Supplier Record,An approved merchandise vendor and its payment terms.,LOW,,No,supplier
Suppliers,Supplier Status,Approval status: Approved or OnHold.,LOW,,No,supplier
Suppliers,Terms Code,"Payment terms: NET30, NET45, NET60 or PREPAID.",LOW,,No,supplier
Loss Prevention & Compliance,Case Notes,Free-text investigation detail; access restricted to loss prevention.,HIGH,,No,loss-prevention;compliance
Loss Prevention & Compliance,Case Status,"Status: Open, UnderReview, Closed or Referred.",LOW,,No,loss-prevention;compliance
Loss Prevention & Compliance,Case Type Code,"Classification: REFUND_ABUSE, SHRINK, CARD_FRAUD or TILL_SHORTAGE.",LOW,,No,loss-prevention;compliance
Loss Prevention & Compliance,Customer ID,"Customer the case concerns, when applicable.",HIGH,,Yes,loss-prevention;compliance;identifier;cde
Loss Prevention & Compliance,Employee ID,"Employee the case concerns, when applicable.",LOW,,No,loss-prevention;compliance;identifier
