Category,Term,Definition,Sensitivity,PII_Category,CDE,Tags
Patient,Address 1,Street address line of the patient.,HIGH,ADDRESS,Yes,pii;personal-data;privacy;patient;phi;cde
Patient,City,City of the patient address.,HIGH,ADDRESS,Yes,pii;personal-data;privacy;patient;phi;cde
Patient,Date of Birth,Date of birth - one of the 18 HIPAA identifiers.,HIGH,DOB,Yes,pii;personal-data;privacy;patient;phi;cde
Patient,Email,Email address of the person.,HIGH,EMAIL,Yes,pii;personal-data;privacy;patient;phi;cde
Patient,Enrolled Date,Date the patient joined the practice.,LOW,,No,patient;phi
Patient,First Name,Given name of the person.,HIGH,PERSONAL_NAME,Yes,pii;personal-data;privacy;patient;phi;cde
Patient,Last Name,Family name of the person.,HIGH,PERSONAL_NAME,Yes,pii;personal-data;privacy;patient;phi;cde
Patient,MRN,"Medical record number, format LHP-nnnnnn; the patient identifier used everywhere.",HIGH,PATIENT_ID,Yes,pii;personal-data;privacy;patient;phi;identifier;cde
Patient,Marketing Opt-Out,TRUE when the patient opted out of marketing contact; extracts must suppress these rows.,MEDIUM,,Yes,patient;phi;cde
Patient,Patient ID,Unique identifier for a patient record.,HIGH,,Yes,patient;phi;identifier;cde
Patient,Patient Record,"A patient of the practice: identity, contact details, provider and consent. PHI.",HIGH,,Yes,patient;phi;cde
Patient,Patient Status,Panel status of the patient.,LOW,,No,patient;phi
Patient,Phone,Phone number of the person.,HIGH,PHONE,Yes,pii;personal-data;privacy;patient;phi;cde
Patient,Primary Provider ID,The patient's primary care provider.,LOW,,No,patient;phi;identifier
Patient,SSN,Social Security number of the patient. Must never appear in free-text fields.,HIGH,SSN,Yes,pii;personal-data;privacy;patient;phi;cde
Patient,Sex Code,"Administrative sex: F, M or X.",MEDIUM,,No,patient;phi
Patient,St,US state code of the address.,LOW,,No,patient;phi
Patient,ZIP,ZIP code of the patient address.,HIGH,ADDRESS,Yes,pii;personal-data;privacy;patient;phi;cde
Appointments & Encounters,Appointment Date,Date of the appointment.,MEDIUM,,No,encounter
Appointments & Encounters,Appointment ID,Unique identifier for an appointment.,MEDIUM,,Yes,encounter;identifier;cde
Appointments & Encounters,Appointment Record,A scheduled visit at a clinic.,MEDIUM,,No,encounter
Appointments & Encounters,Appointment Status,"Status: Scheduled, Completed, NoShow or Cancelled.",LOW,,No,encounter
Appointments & Encounters,Appointment Type Code,"Visit type: NEW, FOLLOWUP, PHYSICAL, TELEHEALTH or URGENT.",LOW,,No,encounter
Appointments & Encounters,Chief Complaint,Presenting concern in the patient's words. PHI.,HIGH,,No,encounter;phi
Appointments & Encounters,Clinic ID,Clinic hosting the appointment.,LOW,,No,encounter;identifier
Appointments & Encounters,Clinical Note,Free-text visit note. DEFECT: two notes carry a patient SSN in clear text - identifiers must never be documented in notes.,HIGH,,No,encounter;phi
Appointments & Encounters,Diagnosis Code,"Primary diagnosis, ICD-10-CM (e.g. E11.9, I10).",HIGH,,Yes,encounter;phi;cde
Appointments & Encounters,Encounter Date,Date of the encounter.,MEDIUM,,No,encounter
Appointments & Encounters,Encounter ID,Unique identifier for a clinical encounter.,MEDIUM,,Yes,encounter;identifier;cde
Appointments & Encounters,Encounter Record,"A clinical encounter: complaint, diagnosis and the visit note. PHI.",HIGH,,Yes,encounter;cde
Appointments & Encounters,Encounter Status,"Status: Open, Closed or Amended.",LOW,,No,encounter
Appointments & Encounters,Patient ID,Patient the appointment is for.,HIGH,,Yes,encounter;identifier;cde
Appointments & Encounters,Provider ID,Provider the appointment is with.,LOW,,No,encounter;identifier
Diagnoses & Results,Abnormal Flag,"N normal, H high, L low.",MEDIUM,,No,clinical;results
Diagnoses & Results,Encounter ID,Encounter the result belongs to.,MEDIUM,,No,clinical;results;identifier
Diagnoses & Results,LOINC Code,LOINC code identifying the test (e.g. 4548-4 Hemoglobin A1c).,LOW,,Yes,clinical;results;identifier;cde
Diagnoses & Results,Lab Result ID,Unique identifier for a lab result.,LOW,,Yes,clinical;results;identifier;cde
Diagnoses & Results,Lab Result Record,One laboratory result for one patient. PHI.,HIGH,,Yes,clinical;results;cde
Diagnoses & Results,Patient ID,Patient the result belongs to.,HIGH,,Yes,clinical;results;identifier;cde
Diagnoses & Results,Reference Range,Normal range for the test.,LOW,,No,clinical;results
Diagnoses & Results,Result Date,Date the result was reported.,MEDIUM,,No,clinical;results
Diagnoses & Results,Result Unit,Unit of measure for the result.,LOW,,No,clinical;results
Diagnoses & Results,Result Value,Measured result value. PHI.,HIGH,,No,clinical;results;phi
Diagnoses & Results,Test Name,Human-readable name of the test.,MEDIUM,,No,clinical;results
Prescriptions,DEA Schedule Code,DEA schedule for controlled substances (II-V); empty for non-controlled.,MEDIUM,,Yes,medication;controlled-substance;cde
Prescriptions,Dose,Dose and directions.,MEDIUM,,No,medication
Prescriptions,Drug Name,Name of the medication - can reveal the condition treated. PHI.,HIGH,,No,medication;phi
Prescriptions,Encounter ID,Encounter the order came from.,MEDIUM,,No,medication;identifier
Prescriptions,NDC Code,"National Drug Code identifying the drug product (11-digit, 5-4-2).",LOW,,Yes,medication;identifier;cde
Prescriptions,Patient ID,Patient the medication is for.,HIGH,,Yes,medication;identifier;cde
Prescriptions,Prescription Date,Date the medication was ordered.,MEDIUM,,No,medication
Prescriptions,Prescription ID,Unique identifier for a prescription.,MEDIUM,,Yes,medication;identifier;cde
Prescriptions,Prescription Record,"A medication order, including controlled substances. PHI.",HIGH,,Yes,medication;cde
Prescriptions,Prescription Status,"Status: Active, Completed or Cancelled.",LOW,,No,medication
Prescriptions,Provider ID,Prescribing provider.,LOW,,No,medication;identifier
Prescriptions,Quantity,Quantity dispensed.,LOW,,No,medication
Prescriptions,Refills,Refills authorized.,LOW,,No,medication
Claims & Billing,Allowed Amount,Payer-contracted allowed amount.,MEDIUM,,No,claims;billing
Claims & Billing,Billed Amount,Charge submitted on the claim.,MEDIUM,,No,claims;billing
Claims & Billing,CPT Code,CPT procedure code (e.g. 99213 established-patient office visit).,LOW,,Yes,claims;billing;identifier;cde
Claims & Billing,Claim Date,Date the claim was submitted.,LOW,,No,claims;billing
Claims & Billing,Claim ID,Unique identifier for a claim.,MEDIUM,,Yes,claims;billing;identifier;cde
Claims & Billing,Claim Number,"Claim number, format CLM-nnnnnnnn; appears on remittances and statements.",MEDIUM,,Yes,claims;billing;identifier;cde
Claims & Billing,Claim Record,A professional claim and its adjudication.,MEDIUM,,No,claims;billing
Claims & Billing,Claim Status,"Status: Submitted, Paid, Denied or Appealed.",LOW,,No,claims;billing
Claims & Billing,Encounter ID,Encounter the claim bills.,MEDIUM,,No,claims;billing;identifier
Claims & Billing,Paid Amount,Amount the payer paid.,MEDIUM,,No,claims;billing
Claims & Billing,Patient ID,Patient the claim concerns.,HIGH,,Yes,claims;billing;identifier;cde
Claims & Billing,Payer ID,Payer the claim was submitted to.,LOW,,No,claims;billing;identifier
Payers,City,City of the payer.,LOW,,No,payer
